face_detection_rpi_mem.committed_Committed_AS,face_detection_rpi_system.active_processes_active,face_detection_rpi_system.cpu_user,face_detection_rpi_system.file_nr_used_used,face_detection_rpi_system.processes_running,face_detection_rpi_system.ram_buffers,face_detection_rpi_system.ram_cached,face_detection_rpi_system.ram_free,face_detection_rpi_system.ram_used,Target
3083.848,417,60.75949,4384,12,2.277344,321.6992,80.22656,502.9258,6
3082.09,417,61.05528,4384,13,2.277344,321.6992,82.48438,500.668,6
3083.848,417,59.04523,4384,9,2.277344,321.6992,79.67188,503.4805,6
3084.727,417,55.33499,4384,10,2.277344,321.6992,82.08203,501.0703,6
3083.848,417,61.42132,4384,14,2.277344,321.6992,82.57031,500.582,6
3083.848,416,68.87755,4384,9,2.277344,321.6992,85.82031,497.332,6
3084.727,417,68.70229,4384,9,2.285156,321.6992,80.32812,502.8164,6
3083.848,417,67.96875,4384,10,2.285156,321.6992,78.83203,504.3125,6
3082.969,417,67.61658,4384,12,2.285156,321.6992,84.25781,498.8867,6
3082.969,417,69.23077,4384,10,2.285156,321.6992,83.58594,499.5586,6
3083.848,417,68.03069,4352,10,2.285156,321.6992,79.72656,503.418,6
3082.09,417,67.69231,4352,11,2.285156,321.6992,82.45703,500.6875,6
3083.848,417,68.19338,4352,9,2.292969,321.6992,85.18359,497.9531,6
3083.848,417,69.46565,4352,11,2.292969,321.6992,81.74609,501.3906,6
3083.848,417,69.7201,4384,10,2.292969,321.6992,87.58203,495.5547,6
3083.848,417,68.11224,4352,8,2.292969,321.6992,84.28906,498.8477,6
3083.848,417,67.34177,4352,12,2.292969,321.6992,83.51172,499.625,6
3083.848,417,68.03069,4352,10,2.292969,321.6992,82.12891,501.0078,6
3083.848,417,67.77494,4352,11,2.292969,321.6992,84.79297,498.3438,6
3082.969,417,66.41221,4352,8,2.292969,321.6992,81.13281,502.0039,6
3084.727,417,68.03069,4352,11,2.292969,321.6992,81.66797,501.4688,6
3082.969,417,65.38462,4352,9,2.292969,321.6992,83.21875,499.918,6
3083.848,417,66.07595,4352,12,2.292969,321.6992,81.19922,501.9375,6
3083.848,417,69.82097,4352,7,2.292969,321.6992,81.66406,501.4727,6
3083.848,417,67.09184,4352,10,2.300781,321.6992,83.71094,499.418,6
3083.848,417,67.4359,4352,14,2.300781,321.7422,82.36719,500.7188,6
3083.848,417,67.51269,4352,11,2.300781,321.7422,79.33203,503.7539,6
3084.727,417,67.17172,4352,11,2.300781,321.7422,80.33984,502.7461,6
3083.848,417,67.08861,4352,5,2.300781,321.7422,84.11719,498.9688,6
3084.727,417,64.55696,4352,14,2.300781,321.7422,83.01562,500.0703,6
3083.848,417,63.63636,4352,13,2.300781,321.7422,83.99219,499.0938,6
3083.848,417,60.6599,4352,12,2.308594,321.7422,84.60938,498.4688,6
3083.789,417,59.10224,4352,10,2.308594,321.7422,87.18359,495.8945,6
3083.789,417,55.47264,4352,9,2.308594,321.7422,80.42188,502.6562,6
3083.789,417,56.63265,4352,7,2.308594,321.7422,81.76953,501.3086,6
3083.805,417,65.46392,4352,8,2.308594,321.7422,83.04297,500.0352,6
