audio_classification_rpi_mem.committed_Committed_AS,audio_classification_rpi_system.active_processes_active,audio_classification_rpi_system.cpu_user,audio_classification_rpi_system.file_nr_used_used,audio_classification_rpi_system.processes_running,audio_classification_rpi_system.ram_buffers,audio_classification_rpi_system.ram_cached,audio_classification_rpi_system.ram_free,audio_classification_rpi_system.ram_used,Target
3177.258,434,8.928571,4608,3,1.945312,248.5742,146.17969,510.4297,5
3177.258,434,10.687023,4608,2,1.945312,248.5742,146.17969,510.4297,5
3177.258,434,12.846348,4608,4,1.945312,248.5781,146.17969,510.4258,5
3177.258,434,10.25,4608,2,1.945312,248.5898,146.42578,510.168,5
3177.258,434,10.075567,4608,3,1.953125,248.5898,146.42578,510.1602,5
3177.258,434,9.090909,4608,2,1.953125,248.5898,146.42578,510.1602,5
3177.258,434,9.350649,4608,3,1.953125,248.5898,146.17969,510.4062,5
3177.258,434,10.25641,4608,2,1.953125,248.5898,146.17969,510.4062,5
3177.258,434,10.969388,4608,2,1.953125,248.5898,146.375,510.2109,5
3177.258,434,9.75,4608,2,1.953125,248.5898,146.42578,510.1602,5
3177.258,434,13.043478,4608,2,1.953125,248.5898,146.42578,510.1602,5
3177.258,434,12.468193,4608,2,1.953125,248.5898,145.93359,510.6523,5
3177.258,434,9.350649,4608,2,1.953125,248.5898,145.93359,510.6523,5
3177.258,434,12.564103,4608,2,1.953125,248.5898,145.93359,510.6523,5
3177.258,434,10.077519,4608,3,1.953125,248.5898,145.6875,510.8984,5
3177.258,434,10.379747,4608,2,1.953125,248.5898,145.6875,510.8984,5
3177.258,434,9.302326,4608,2,1.953125,248.5898,145.93359,510.6523,5
3177.258,434,10.421836,4608,4,1.953125,248.5898,145.93359,510.6523,5
3177.258,434,11.720698,4608,2,1.953125,248.5898,145.93359,510.6523,5
3177.258,435,9.114583,4608,2,1.953125,248.5898,145.63672,510.9492,5
3177.258,435,10.051546,4608,2,1.953125,248.5898,145.6875,510.8984,5
3177.258,435,10.796915,4608,3,1.953125,248.5898,145.88281,510.7031,5
3177.258,435,12.082262,4608,3,1.953125,248.7852,145.6875,510.7031,5
3177.258,435,11.139241,4608,2,1.953125,248.832,145.88281,510.4609,5
3177.258,435,10.051546,4608,2,1.953125,248.832,145.6875,510.6562,5
3177.258,435,11.19403,4608,2,1.953125,248.832,145.88281,510.4609,5
3177.258,435,9.067358,4608,2,1.953125,248.832,146.17969,510.1641,5
3177.258,435,9.302326,4608,2,1.953125,248.832,145.93359,510.4102,5
3177.258,435,9.302326,4608,3,1.960938,248.8242,145.93359,510.4102,5
3177.258,435,14.43038,4608,2,1.960938,248.832,145.6875,510.6484,5
3177.258,435,10.204082,4608,4,1.960938,248.832,145.6875,510.6484,5
3177.258,435,12.690355,4608,2,1.960938,248.832,145.44141,510.8945,5
3177.258,434,10.204082,4608,4,1.960938,248.832,145.19531,511.1406,5
3177.258,434,8.883249,4608,2,1.960938,248.832,145.19531,511.1406,5
3177.258,434,11.85567,4608,2,1.960938,248.832,144.94922,511.3867,5
3177.258,433,10.051546,4608,2,1.960938,248.832,145.19531,511.1406,5
3177.258,433,8.78553,4608,3,1.960938,248.832,145.19531,511.1406,5
3177.258,433,10.43257,4608,2,1.960938,248.832,144.94922,511.3867,5
3177.258,433,10.485934,4608,2,1.960938,248.832,144.45703,511.8789,5
3177.258,433,12.280702,4608,2,1.960938,248.832,144.45703,511.8789,5
3177.258,433,13.106796,4608,2,1.960938,248.832,144.45703,511.8789,5
3177.258,433,10.621762,4608,3,1.96875,248.8242,144.45703,511.8789,5
3177.258,433,9.793814,4608,2,1.96875,248.832,144.45703,511.8711,5
3177.258,433,9.183673,4608,3,1.96875,248.832,144.21094,512.1172,5
3177.258,433,11.25,4608,2,1.96875,248.832,144.21094,512.1172,5
3177.258,433,12.468828,4608,2,1.96875,248.832,144.21094,512.1172,5
3177.258,433,11.519608,4608,2,1.96875,249.1523,144.21094,511.7969,5
3177.258,433,11.764706,4608,4,1.96875,249.1914,144.21094,511.7578,5
3177.258,433,10.050251,4608,2,1.96875,249.1914,144.21094,511.7578,5
