gesture_recognition_rpi_mem.committed_Committed_AS,gesture_recognition_rpi_system.active_processes_active,gesture_recognition_rpi_system.cpu_user,gesture_recognition_rpi_system.file_nr_used_used,gesture_recognition_rpi_system.processes_running,gesture_recognition_rpi_system.ram_buffers,gesture_recognition_rpi_system.ram_cached,gesture_recognition_rpi_system.ram_free,gesture_recognition_rpi_system.ram_used,Target
3241.605,428,66.91919,4480,12,9.996094,226.6094,165.67578,504.8477,3
3241.605,428,64.73552,4480,12,9.996094,226.6094,168.2422,502.2812,3
3241.605,428,57.88177,4480,7,9.996094,226.6094,167.34375,503.1797,3
3241.605,428,54.5679,4480,10,10.003906,226.6094,166.19531,504.3281,3
3241.605,428,49.24623,4480,18,10.003906,226.6016,165.26562,505.2578,3
3241.605,428,65.47315,4480,11,10.003906,226.6094,164.60938,505.9062,3
3241.605,428,66.92506,4480,9,10.003906,226.6094,163.70703,506.8086,3
3241.605,428,66.06684,4480,9,10.003906,226.6094,162.55859,507.957,3
3241.605,428,68.44784,4480,14,10.011719,226.6094,161.65625,508.8594,3
3241.605,428,66.66667,4480,12,10.011719,226.6016,165.57422,504.9414,3
3241.605,428,63.45178,4480,13,10.011719,226.6367,163.93359,506.5469,3
3241.605,428,65.38462,4480,4,10.027344,226.6367,163.49609,506.9844,3
3241.605,428,65.31646,4480,9,10.027344,226.668,162.83984,507.5938,3
3241.605,428,70.28424,4480,13,10.027344,226.668,162.21094,508.2227,3
3241.605,428,67.08861,4480,11,10.027344,226.668,164.94141,505.4922,3
3241.605,428,71.50127,4512,16,10.027344,226.668,167.67578,502.7578,3
3241.605,428,65.5527,4512,16,10.027344,226.668,166.77734,503.6562,3
3241.605,428,63.35878,4512,12,10.027344,226.668,165.83203,504.6016,3
3241.605,428,67.08543,4512,9,10.027344,226.668,165.61328,504.8203,3
3241.605,428,64.55696,4512,8,10.027344,226.668,169.2578,501.1758,3
3241.605,428,67.00767,4512,8,10.027344,226.668,169.0391,501.3945,3
3241.605,428,63.26531,4480,13,10.027344,226.668,168.3828,502.0508,3
3241.605,428,61.28205,4480,11,10.027344,226.668,167.918,502.5156,3
3241.605,428,67.25441000000001,4480,7,10.027344,226.668,167.01562,503.418,3
3241.605,428,63.75321,4480,13,10.027344,226.668,166.11328,504.3203,3
3241.605,428,65.65657,4480,6,10.027344,226.668,165.40234,505.0312,3
3241.605,428,63.13131,4480,9,10.027344,226.668,164.99219,505.4414,3
3241.605,428,65.98985,4480,12,10.027344,226.668,163.81641,506.6172,3
3241.605,428,61.0,4480,12,10.027344,226.668,162.88672,507.5469,3
